FID,nome_orige
RedeUrbanaSintese_Regic2007.1,Ibipitanga
RedeUrbanaSintese_Regic2007.2,Bom Jesus do Tocantins
RedeUrbanaSintese_Regic2007.3,Novo Horizonte do Oeste
RedeUrbanaSintese_Regic2007.4,Santa Rosa do Tocantins
RedeUrbanaSintese_Regic2007.5,Bela Vista do Maranhão
RedeUrbanaSintese_Regic2007.6,Bom Lugar
RedeUrbanaSintese_Regic2007.7,Brejo de Areia
RedeUrbanaSintese_Regic2007.8,Conceição do Lago-Açu
RedeUrbanaSintese_Regic2007.9,Lago da Pedra
RedeUrbanaSintese_Regic2007.10,Lago Verde
RedeUrbanaSintese_Regic2007.11,Olho d'Água das Cunhãs
RedeUrbanaSintese_Regic2007.12,Pio XII
RedeUrbanaSintese_Regic2007.13,São Luís Gonzaga do Maranhão
RedeUrbanaSintese_Regic2007.14,Castanheiras
RedeUrbanaSintese_Regic2007.15,Vitorino Freire
RedeUrbanaSintese_Regic2007.16,Alto Parnaíba
RedeUrbanaSintese_Regic2007.17,Feira Nova do Maranhão
RedeUrbanaSintese_Regic2007.18,Fortaleza dos Nogueiras
RedeUrbanaSintese_Regic2007.19,Loreto
RedeUrbanaSintese_Regic2007.20,Nova Colinas
RedeUrbanaSintese_Regic2007.2427,Envira
RedeUrbanaSintese_Regic2007.21,Riachão
RedeUrbanaSintese_Regic2007.22,Sambaíba
RedeUrbanaSintese_Regic2007.23,São Félix de Balsas
RedeUrbanaSintese_Regic2007.24,São Raimundo das Mangabeiras
RedeUrbanaSintese_Regic2007.25,Parecis
RedeUrbanaSintese_Regic2007.26,Tasso Fragoso
RedeUrbanaSintese_Regic2007.27,Fernando Falcão
RedeUrbanaSintese_Regic2007.28,Itaipava do Grajaú
RedeUrbanaSintese_Regic2007.29,Jenipapo dos Vieiras
RedeUrbanaSintese_Regic2007.30,São Raimundo do Doca Bezerra
RedeUrbanaSintese_Regic2007.31,Fernando Falcão
RedeUrbanaSintese_Regic2007.32,Itaipava do Grajaú
RedeUrbanaSintese_Regic2007.33,Jenipapo dos Vieiras
RedeUrbanaSintese_Regic2007.34,São Raimundo do Doca Bezerra
RedeUrbanaSintese_Regic2007.35,Aldeias Altas
RedeUrbanaSintese_Regic2007.36,Santa Maria das Barreiras
RedeUrbanaSintese_Regic2007.37,Buriti Bravo
RedeUrbanaSintese_Regic2007.38,Codó
RedeUrbanaSintese_Regic2007.39,Coelho Neto
RedeUrbanaSintese_Regic2007.40,São João do Soter
RedeUrbanaSintese_Regic2007.350,Ouro Branco
RedeUrbanaSintese_Regic2007.41,Senador Alexandre Costa
RedeUrbanaSintese_Regic2007.42,Aldeias Altas
RedeUrbanaSintese_Regic2007.43,Buriti Bravo
RedeUrbanaSintese_Regic2007.44,Codó
RedeUrbanaSintese_Regic2007.45,Coelho Neto
RedeUrbanaSintese_Regic2007.46,São João do Soter
RedeUrbanaSintese_Regic2007.47,Couto de Magalhães
